Tip_ID,Phylum,Ecoli_Reference,EF_Tu_Identity,SecY_Identity,MuA_Identity,IS621_Identity,IS911_Identity
Escherichia_coli,Pseudomonadota,TRUE,100.0,100.0,100.0,28.9,100.0
Providencia_A_siddallii_A,Pseudomonadota,FALSE,88.8,83.3,NA,NA,NA
Pseudomonas_aeruginosa,Pseudomonadota,FALSE,84.6,65.4,36.5,29.4,36.4
Vibrio_parahaemolyticus,Pseudomonadota,FALSE,87.7,81.2,NA,29.8,NA
Acinetobacter_baumannii,Pseudomonadota,FALSE,85.0,59.0,NA,NA,NA
Aeromonas_caviae,Pseudomonadota,FALSE,91.3,82.0,NA,24.3,NA
Actinobacillus_lignieresii,Pseudomonadota,FALSE,91.8,74.7,31.9,NA,NA
Niveibacterium_microcysteis,Pseudomonadota,FALSE,81.8,67.1,NA,29.8,NA
Pseudidiomarina_fusca,Pseudomonadota,FALSE,93.5,80.9,NA,NA,NA
Neisseria_meningitidis,Pseudomonadota,FALSE,29.3,56.9,35.9,38.4,NA
Rhodanobacter_denitrificans,Pseudomonadota,FALSE,79.0,59.6,NA,30.4,NA
Janthinobacterium_lividum,Pseudomonadota,FALSE,79.0,66.3,NA,27.2,33.0
Methylocaldum_szegediense,Pseudomonadota,FALSE,80.5,66.0,NA,55.2,NA
Solimonas_A_sp003428335,Pseudomonadota,FALSE,73.4,64.0,NA,NA,34.5
Methylomonas_koyamae,Pseudomonadota,FALSE,79.2,65.3,NA,50.4,NA
Staphylococcus_aureus,Bacillota,FALSE,75.1,41.3,NA,NA,NA
Enterococcus_faecalis,Bacillota,FALSE,77.7,40.6,NA,NA,NA
Lactobacillus_crispatus,Bacillota,FALSE,70.7,40.4,NA,32.9,NA
Negativicoccus_massiliensis_A,Bacillota,FALSE,83.0,46.9,NA,NA,NA
Rossellomorea_marisflavi,Bacillota,FALSE,77.2,43.6,NA,NA,NA
Symbiobacterium_thermophilum,Bacillota,FALSE,75.6,44.8,NA,34.9,NA
Terrisporobacter_petrolearius,Bacillota,FALSE,34.1,39.0,NA,NA,NA
Abyssicoccus_albus,Bacillota,FALSE,75.8,41.5,NA,NA,NA
Hungateiclostridium_thermocellum,Bacillota,FALSE,72.2,41.7,NA,26.2,NA
Acetohalobium_arabaticum,Bacillota,FALSE,73.1,45.6,NA,NA,NA
Phytoplasma_australasiaticum,Bacillota,FALSE,53.7,26.6,NA,NA,NA
G963665925_sp963678925,Bacillota,FALSE,75.7,43.6,NA,28.8,NA
Phascolarctobacterium_faecium,Bacillota,FALSE,32.4,45.2,NA,NA,NA
Acidilutibacter_cellobiosedens,Bacillota,FALSE,71.7,42.3,NA,NA,NA
Acutalibacter_muris,Bacillota,FALSE,72.4,39.1,NA,NA,NA
Flavobacterium_psychrophilum,Bacteroidota,FALSE,70.0,36.3,NA,NA,NA
Rhodocytophaga_rosea,Bacteroidota,FALSE,70.3,40.7,NA,27.0,NA
Cardinium_sp007559345,Bacteroidota,FALSE,30.9,35.9,NA,28.3,NA
Azobacteroides_pseudotrichonymphae,Bacteroidota,FALSE,69.0,40.2,NA,NA,NA
Aurantibacillus_circumpalustris,Bacteroidota,FALSE,71.1,38.9,NA,NA,NA
Phocaeicola_vulgatus,Bacteroidota,FALSE,73.5,39.4,NA,NA,NA
Barnesiella_merdigallinarum,Bacteroidota,FALSE,71.8,39.5,NA,NA,NA
Bernardetia_sp020630575,Bacteroidota,FALSE,73.9,41.4,NA,24.6,NA
Promineifilum_breve,Chloroflexota,FALSE,66.9,37.2,NA,38.9,NA
Brevefilum_fermentans,Chloroflexota,FALSE,67.7,33.5,NA,NA,NA
Bin16_sp958295525,Chloroflexota,FALSE,73.4,39.5,NA,NA,NA
JAPOXK01_sp963663895,Chloroflexota,FALSE,69.8,42.6,NA,NA,NA
JAAFGM01_sp025998955,Chloroflexota,FALSE,68.3,37.5,NA,NA,NA
GCA_958296115_sp958296115,Chloroflexota,FALSE,69.6,37.2,NA,NA,NA
CATOSD01_sp963667445,Chloroflexota,FALSE,70.9,39.0,NA,30.9,NA
CATQGZ01_sp958295685,Chloroflexota,FALSE,71.1,38.6,NA,NA,NA
Streptomyces_albidoflavus,Actinomycetota,FALSE,74.2,44.4,NA,NA,74.1
Bifidobacterium_longum,Actinomycetota,FALSE,67.0,43.4,NA,NA,NA
Microbacterium_sp002456035,Actinomycetota,FALSE,71.0,42.0,NA,NA,33.3
Corynebacterium_diphtheriae,Actinomycetota,FALSE,72.5,44.5,NA,34.6,NA
JACDBR01_sp021496505,Actinomycetota,FALSE,76.6,46.1,NA,NA,NA
Acidimicrobium_ferrooxidans,Actinomycetota,FALSE,75.9,38.3,NA,NA,NA
Acidothermus_cellulolyticus,Actinomycetota,FALSE,75.3,45.2,NA,NA,NA
Trueperella_pyogenes,Actinomycetota,FALSE,70.6,42.1,NA,NA,NA
MFHE01_sp016432405,Patescibacteriota,FALSE,70.6,41.0,NA,NA,NA
GCA_016699145_sp016699145,Patescibacteriota,FALSE,72.9,38.9,NA,NA,NA
GCA_016432625_sp016432625,Patescibacteriota,FALSE,73.2,36.1,NA,NA,NA
HK_STAS_PATE_2_sp023898425,Patescibacteriota,FALSE,66.7,41.3,NA,NA,NA
2011_GWC2_44_17_sp001029695,Patescibacteriota,FALSE,29.6,35.6,NA,NA,NA
Aalborg_AAW_1_sp001007975,Patescibacteriota,FALSE,66.2,31.3,NA,NA,NA
BOKC01_sp016860785,Patescibacteriota,FALSE,70.0,41.7,NA,NA,NA
GWC1_49_16_sp001029675,Patescibacteriota,FALSE,70.7,NA,NA,NA,NA
Dissulfurimicrobium_hydrothermale,Desulfobacterota,FALSE,75.9,53.4,NA,63.7,NA
Desulfoluna_limicola,Desulfobacterota,FALSE,76.3,54.2,39.6,NA,NA
Syntrophus_aciditrophicus,Desulfobacterota,FALSE,74.5,54.6,NA,44.0,NA
Desulfonema_C_magnum,Desulfobacterota,FALSE,76.8,55.2,NA,NA,NA
